LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2016,per Venue 2016,"per 1,000 Adults 2016",per Adult 2016,Workforce,Unemployed,Unemployment rate,
Rural City of Benalla,C48,Country," 5,265,158.93 ",957.20,16,13,-, 944.60 ,18,20,-," 10,608 "," 3,536 ", 10 ,496.35," 7,189 ", 410 ,5.70%,
SHIRE OF GANNAWARRA,C38,Country," 1,712,866.20 ",958.83,18,15,-, 940.40 ,13,8,-," 7,845 "," 7,845 ", 6 ,218.33," 4,444 ", 202 ,4.55%,
Shire of Campaspe,C10,Country," 8,364,721.08 ",964.07,20,17,-, 947.07 ,20,19,-," 28,430 "," 7,107 ", 7 ,294.23," 19,454 ", 826 ,4.25%,
Shire of Glenelg,C25,Country," 6,486,057.84 ",960.19,19,16,-, 943.44 ,17,13,-," 14,917 "," 3,729 ", 8 ,434.82," 10,407 ", 508 ,4.88%,
SHIRE OF SOUTHERN GRAMPIANS,C37,Country," 5,955,041.44 ",994.46,41,35,-, 977.60 ,37,29,-," 12,196 "," 6,098 ", 6 ,488.30," 8,628 ", 339 ,3.93%,
Shire of Wellington,C12,Country," 21,744,942.04 ",974.09,25,21,-, 960.85 ,25,24,-," 32,482 "," 4,640 ", 10 ,669.45," 20,517 "," 1,419 ",6.92%,
Rural City of Wodonga,C15,Country," 7,664,502.64 ",974.67,26,22,-, 962.94 ,26,41,-," 29,452 "," 9,817 ", 5 ,260.24," 22,127 "," 1,307 ",5.91%,
City of Warrnambool,C16,Country," 18,542,341.26 ",988.57,37,33,-, 969.80 ,31,36,-," 26,140 "," 3,267 ", 9 ,709.36," 19,134 ", 723 ,3.78%,
City of Greater Bendigo,C19,Country," 48,696,383.97 ",983.07,31,27,-, 967.35 ,29,33,-," 84,709 "," 7,701 ", 7 ,574.87," 53,626 "," 3,850 ",7.18%,
City of Ballarat,C20,Country," 54,611,247.32 ",980.79,29,25,-, 969.03 ,30,34,-," 78,968 "," 5,265 ", 8 ,691.56," 51,954 "," 3,382 ",6.51%,
Rural City of Swan Hill,C23,Country," 7,527,429.31 ",949.83,10,8,-, 939.41 ,12,11,-," 15,576 "," 3,894 ", 10 ,483.27," 9,520 ", 481 ,5.05%,
City of Greater Shepparton,C24,Country," 31,422,084.52 ",951.90,13,10,-, 942.37 ,15,23,-," 47,853 "," 5,982 ", 7 ,656.63," 34,137 "," 1,677 ",4.91%,
Rural City of Mildura,C27,Country," 25,711,760.39 ",935.02,5,3,-, 924.07 ,3,16,-," 40,516 "," 5,064 ", 7 ,634.61," 23,960 "," 1,811 ",7.56%,
Shire of East Gippsland,C28,Country," 23,639,559.17 ",958.17,17,14,-, 942.21 ,14,17,-," 35,595 "," 3,559 ", 9 ,664.13," 20,011 "," 1,801 ",9.00%,
Shire of Bass Coast,C29,Country," 16,321,155.47 ",977.50,27,23,-, 959.75 ,24,22,-," 26,265 "," 5,253 ", 8 ,621.40," 14,965 "," 1,244 ",8.31%,
City of Latrobe,C30,Country," 43,563,001.39 ",939.68,7,5,-, 929.15 ,7,15,-," 56,847 "," 4,373 ", 9 ,766.32," 36,204 "," 3,860 ",10.66%,
Shire of Surf Coast,C33,Country," 2,854,155.94 ",1066.46,74,48,-," 1,059.78 ",73,48,-," 22,067 "," 7,356 ", 3 ,129.34," 15,032 ", 413 ,2.75%,
Shire of South Gippsland,C4,Country," 6,565,792.42 ",999.52,48,40,-, 980.51 ,40,30,-," 21,678 "," 5,420 ", 5 ,302.87," 13,995 ", 714 ,5.10%,
Shire of Macedon Ranges,C45,Country," 9,179,543.81 ",1055.08,72,47,-," 1,046.85 ",68,46,-," 35,033 "," 11,678 ", 3 ,262.02," 24,002 ", 757 ,3.15%,
Rural City of Horsham,C5,Country," 9,269,919.86 ",987.39,36,32,-, 970.80 ,35,28,-," 15,299 "," 5,100 ", 10 ,605.93," 9,616 ", 414 ,4.31%,
Shire of Baw Baw,C6,Country," 14,661,092.83 ",998.06,47,39,-, 983.45 ,45,38,-," 36,517 "," 9,129 ", 5 ,401.49," 24,277 "," 1,302 ",5.36%,
Rural City of Wangaratta,C9,Country," 8,236,834.09 ",981.12,30,26,-, 965.11 ,27,25,-," 21,049 "," 5,262 ", 6 ,391.32," 15,325 ", 787 ,5.14%,
City of Melbourne,M1,Metro," 79,770,052.63 ",1025.81,61,-,16," 1,050.96 ",70,-,28," 122,123 "," 11,102 ", 6 ,653.19," 78,545 "," 3,027 ",3.85%,
City of Moreland,M10,Metro," 63,531,110.68 ",998.06,46,-,8, 999.81 ,53,-,11," 139,247 "," 11,604 ", 5 ,456.25," 86,722 "," 5,601 ",6.46%,
City of Darebin,M11,Metro," 84,324,281.52 ",990.32,39,-,6, 994.85 ,50,-,8," 124,931 "," 9,610 ", 6 ,674.97," 78,641 "," 4,927 ",6.27%,
