LGA Name,LGA,Region,Net Expenditure ($),DIS Score ,DIS Rank State ,DIS RANK COUNTRY ,DIS RANK METRO ,ADVDIS Score,ADVDIS Rank State ,ADVDIS RANK COUNTRY ,ADVDIS RANK METRO ,Population 2015,per Venue 2015,"per 1,000 Adults 2015",per Adult 2015,Workforce ,Unemployed ,Unemployment rate 
SHIRE OF CENTRAL GOLDFIELDS,C31,Country," 6,883,730.52 ",904.57,2,1,-, 887.90 ,1,1,-," 10,173 "," 5,087 ", 10 ,676.67," 5,031 ", 455 ,9.04%
SHIRE OF MOUNT ALEXANDER,C47,Country," 3,215,859.45 ",983.35,32,28,-, 969.86 ,32,32,-," 14,819 "," 14,819 ", 2 ,217.00," 8,974 ", 576 ,6.42%
SHIRE OF MANSFIELD,C49,Country," 1,677,514.76 ",1012.14,54,43,-, 991.67 ,47,37,-," 6,382 "," 6,382 ", 6 ,262.87," 4,421 ", 170 ,3.85%
SHIRE OF MURRINDINDI,C41,Country," 1,442,480.86 ",997.18,45,38,-, 982.25 ,41,40,-," 10,930 "," 10,930 ", 2 ,131.97," 7,221 ", 371 ,5.14%
Shire of Mitchell,C13,Country," 15,754,672.14 ",996.06,43,37,-, 979.03 ,38,39,-," 29,324 "," 5,865 ", 8 ,537.26," 20,759 "," 1,601 ",7.71%
SHIRE OF TOWONG,C34,Country," 318,358.87 ",995.92,42,36,-, 982.47 ,42,31,-," 4,567 "," 4,567 ", 2 ,69.72," 3,071 ", 177 ,5.76%
Shire of Alpine,C2,Country," 2,802,096.85 ",986.88,35,31,-, 969.92 ,33,26,-," 9,604 "," 3,201 ", 7 ,291.77," 6,416 ", 285 ,4.44%
SHIRE OF MOIRA,C17,Country," 3,874,677.61 ",952.38,15,12,-, 936.27 ,10,12,-," 22,380 "," 11,190 ", 4 ,173.13," 13,587 ", 906 ,6.67%
SHIRE OF STRATHBOGIE,C42,Country," 1,318,809.19 ",970.20,23,20,-, 956.36 ,23,14,-," 8,063 "," 8,063 ", 4 ,163.56," 5,031 ", 262 ,5.21%
Rural City of Benalla,C48,Country," 4,866,018.05 ",957.20,16,13,-, 944.60 ,18,20,-," 10,758 "," 3,586 ", 10 ,452.33," 6,961 ", 506 ,7.27%
SHIRE OF GANNAWARRA,C38,Country," 1,498,998.31 ",958.83,18,15,-, 940.40 ,13,8,-," 7,811 "," 7,811 ", 6 ,191.91," 5,208 ", 221 ,4.24%
Shire of Campaspe,C10,Country," 8,159,437.36 ",964.07,20,17,-, 947.07 ,20,19,-," 28,293 "," 7,073 ", 7 ,288.39," 18,288 "," 1,174 ",6.42%
Shire of Glenelg,C25,Country," 6,893,539.01 ",960.19,19,16,-, 943.44 ,17,13,-," 15,015 "," 3,754 ", 8 ,459.10," 9,807 ", 622 ,6.34%
SHIRE OF SOUTHERN GRAMPIANS,C37,Country," 6,290,788.23 ",994.46,41,35,-, 977.60 ,37,29,-," 12,249 "," 6,125 ", 6 ,513.57," 8,155 ", 443 ,5.43%
